-1,3,-1,3,1,R,-1,3
2,3,3,3,2,3,2,3
2,R,2,R,6,R,2,R
3,R,3,R,7,R,3,R
3,3,5,3,3,3,3,3
5,R,5,R,8,R,5,R
9,2,10,2,6,R,15,L
10,2,11,2,7,R,16,L
11,2,12,2,8,R,17,L
9,L,9,L,9,L,13,0
10,L,10,L,10,L,13,1
11,L,11,L,11,L,14,0
12,L,12,L,12,L,14,1
1,R,1,R,1,R,1,R
4,R,4,R,4,R,4,R
15,L,15,L,15,L,18,0
16,L,16,L,16,L,18,1
17,L,17,L,17,L,19,0
18,R,18,R,23,3,22,L
20,R,-1,3,-1,3,-1,3
18,1,21,0,18,1,18,1
20,R,-1,3,-1,3,-1,3
24,3,25,1,22,L,22,L
-1,3,-1,3,-1,3,18,R
-1,3,-1,3,-1,3,22,L
25,L,25,L,26,2,25,L
-1,3,-1,3,-1,3,-1,3
